,filename,ed,lo,lo2,lo3,lo4,ph,rm
0,02.wav,2.989789513455538,-30.563427,-16.608856138202505,-17.507281329988697,0.1332404,364.5440179608152,-0.19463998230108628
1,03.wav,3.347672064777328,-22.240187,-15.704453830276682,-16.32675750195769,0.15263781,363.93917973614276,0.09062479251635248
2,04.wav,3.2869998539719627,-37.60336,-20.299596960157583,-21.413409994345102,0.0849825,320.226385097312,0.19593364507893568
3,06.wav,2.7189235434528447,-19.550428,-18.107783748136544,-18.734424781670636,0.115685456,433.3162585601903,0.4276472044223028
4,07.wav,2.551088756819953,-28.399128,-23.013003904524762,-24.103046488538816,0.06235161,409.1751093065999,0.030700732464116354
5,09.wav,2.0652914946933962,-13.729546,-17.987409415022682,-17.450069118489534,0.13412093,431.126269775506,0.03577614742806127
6,12.wav,1.0562172418908227,-19.13657,-11.95435187599974,-11.975468939015318,0.25189906,429.08562969096863,-0.36267484396210065
7,14.wav,2.2532634493670884,-22.992449,-19.103704299108536,-17.14433779106991,0.13892587,192.13009253594217,-0.16504530210164478
8,16.wav,3.1271581491712706,-0.4320074,-20.00203068095756,-15.857113091900693,0.1611181,518.3896986321602,0.5095552845447532
9,17.wav,2.411447037657729,-12.574521,-24.0427752379934,-23.232236258738567,0.06892681,444.6307656446465,0.03455209081818886
10,18.wav,4.417932042873923,-28.077127,-18.82877088851484,-19.31132954196391,0.1082514,495.4970499310295,-0.6824180400409305
11,19.wav,6.1905867569930075,-11.573434,-5.885555902884717,-6.825311044754393,0.45575815,378.09844059545014,-0.19220338193067824
12,21.wav,3.8396554969879517,-16.625305,-12.954372600932174,-15.073953702281466,0.1763203,742.2859808178185,-0.0351027394831486
13,22.wav,3.470923195422535,-18.288574,-15.070894506626841,-15.037280471456636,0.17706633,323.2031711140786,-0.7096528386206475
14,24.wav,1.9163037909836065,-13.8066845,-21.031202068089822,-18.649345735237862,0.11682417,348.05969958185227,0.4102253723691014
15,25.wav,1.2875872836349331,-0.44782358407974243,-22.42097089859427,-13.719590646698235,0.20607270300388336,349.8264300590596,-0.047037917152137725
